NAME_1,NAME_2,MU_GLOBAL,SAND_TOP,CLAY_TOP,SILT_TOP
Andaman and Nicobar,Nicobar Islands,3690.0,,,
Andaman and Nicobar,North and Middle Andaman,3690.0,,,
Andaman and Nicobar,South Andaman,3690.0,,,
Andhra Pradesh,Anantapur,3773.0,,,
Andhra Pradesh,Chittoor,3781.0,,,
Andhra Pradesh,East Godavari,3830.0,,,
Andhra Pradesh,Guntur,3866.0,,,
Andhra Pradesh,Krishna,3742.0,,,
Andhra Pradesh,Kurnool,3867.0,,,
Andhra Pradesh,Nellore,3781.0,,,
Andhra Pradesh,Prakasam,3782.0,,,
Andhra Pradesh,Srikakulam,3829.0,,,
Andhra Pradesh,Visakhapatnam,3830.0,,,
Andhra Pradesh,Vizianagaram,3830.0,,,
Andhra Pradesh,West Godavari,3866.0,,,
Andhra Pradesh,Y.S.R.,3727.0,,,
Arunachal Pradesh,Anjaw,11909.0,,,
Arunachal Pradesh,Changlang,4276.0,,,
Arunachal Pradesh,Dibang Valley,11909.0,,,
Arunachal Pradesh,East Kameng,11839.0,,,
Arunachal Pradesh,East Siang,11790.0,,,
Arunachal Pradesh,Kurung Kumey,11864.0,36.0,25.0,39.0
Arunachal Pradesh,Kurung Kumey,11864.0,34.0,30.0,36.0
Arunachal Pradesh,Kurung Kumey,11864.0,39.0,26.0,35.0
Arunachal Pradesh,Kurung Kumey,11864.0,39.0,26.0,35.0
Arunachal Pradesh,Kurung Kumey,11864.0,36.0,29.0,35.0
Arunachal Pradesh,Kurung Kumey,11864.0,34.0,30.0,36.0
Arunachal Pradesh,Kurung Kumey,11864.0,41.0,17.0,42.0
Arunachal Pradesh,Lohit,3637.0,,,
Arunachal Pradesh,Longding,4276.0,,,
Arunachal Pradesh,Lower Dibang Valley,11839.0,,,
Arunachal Pradesh,Lower Subansiri,11839.0,,,
Arunachal Pradesh,Namsai,3637.0,,,
Arunachal Pradesh,Papum Pare,11839.0,,,
Arunachal Pradesh,Tawang,11909.0,,,
Arunachal Pradesh,Tirap,4276.0,,,
Arunachal Pradesh,Upper Siang,11839.0,,,
Arunachal Pradesh,Upper Subansiri,11839.0,,,
Arunachal Pradesh,West Kameng,11864.0,36.0,25.0,39.0
Arunachal Pradesh,West Kameng,11864.0,34.0,30.0,36.0
Arunachal Pradesh,West Kameng,11864.0,39.0,26.0,35.0
Arunachal Pradesh,West Kameng,11864.0,39.0,26.0,35.0
Arunachal Pradesh,West Kameng,11864.0,36.0,29.0,35.0
Arunachal Pradesh,West Kameng,11864.0,34.0,30.0,36.0
Arunachal Pradesh,West Kameng,11864.0,41.0,17.0,42.0
Arunachal Pradesh,West Siang,11790.0,,,
Assam,Baksa,3849.0,,,
Assam,Barpeta,3683.0,,,
Assam,Bongaigaon,3683.0,,,
Assam,Cachar,3701.0,,,
Assam,Chirang,3650.0,,,
Assam,Darrang,3650.0,,,
Assam,Dhemaji,3650.0,,,
Assam,Dhubri,3683.0,,,
Assam,Dibrugarh,3637.0,,,
Assam,Dima Hasao,4276.0,,,
Assam,Goalpara,3648.0,,,
Assam,Golaghat,3637.0,,,
Assam,Hailakandi,3701.0,,,
Assam,Jorhat,3637.0,,,
Assam,Kamrup,3650.0,,,
Assam,Kamrup Metropolitan,3814.0,,,
Assam,Karbi Anglong,4412.0,,,
Assam,Karimganj,3708.0,,,
Assam,Kokrajhar,3650.0,,,
Assam,Lakhimpur,3683.0,,,
Assam,Morigaon,3650.0,,,
Assam,Nagaon,3637.0,,,
Assam,Nalbari,3650.0,,,
Assam,Sivasagar,3637.0,,,
Assam,Sonitpur,3650.0,,,
Assam,Tinsukia,3637.0,,,
Assam,Udalguri,3650.0,,,
Bihar,Araria,3682.0,,,
Bihar,Arwal,3808.0,,,
Bihar,Aurangabad,3808.0,,,
Bihar,Banka,3834.0,,,
Bihar,Begusarai,3808.0,,,
Bihar,Bhagalpur,3808.0,,,
Bihar,Bhojpur,3808.0,,,
Bihar,Buxar,3808.0,,,
Bihar,Darbhanga,3684.0,,,
Bihar,Gaya,3808.0,,,
Bihar,Gopalganj,3695.0,,,
Bihar,Jamui,3807.0,,,
Bihar,Jehanabad,3681.0,,,
Bihar,Kaimur,3785.0,,,
Bihar,Katihar,3682.0,,,
Bihar,Khagaria,3808.0,,,
Bihar,Kishanganj,3761.0,,,
Bihar,Lakhisarai,3808.0,,,
Bihar,Madhepura,3682.0,,,
Bihar,Madhubani,3684.0,,,
Bihar,Munger,3808.0,,,
Bihar,Muzaffarpur,3695.0,,,
Bihar,Nalanda,3808.0,,,
Bihar,Nawada,3808.0,,,
Bihar,Pashchim Champaran,3759.0,,,
Bihar,Patna,3743.0,,,
Bihar,Purba Champaran,3695.0,,,
Bihar,Purnia,3682.0,,,
Bihar,Rohtas,3681.0,,,
Bihar,Saharsa,3682.0,,,
Bihar,Samastipur,3695.0,,,
Bihar,Saran,3695.0,,,
Bihar,Sheikhpura,3808.0,,,
Bihar,Sheohar,3684.0,,,
Bihar,Sitamarhi,3684.0,,,
Bihar,Siwan,3695.0,,,
Bihar,Supaul,3682.0,,,
Bihar,Vaishali,3695.0,,,
Chandigarh,Chandigarh,3739.0,,,
Chhattisgarh,Balod,3791.0,,,
Chhattisgarh,Baloda Bazar,3794.0,,,
Chhattisgarh,Balrampur,3791.0,,,
Chhattisgarh,Bastar,3791.0,,,
Chhattisgarh,Bemetara,3791.0,,,
Chhattisgarh,Bijapur,3769.0,,,
Chhattisgarh,Bilaspur,3791.0,,,
Chhattisgarh,Dantewada,3769.0,,,
Chhattisgarh,Dhamtari,3791.0,,,
Chhattisgarh,Durg,3794.0,,,
Chhattisgarh,Gariaband,3791.0,,,
Chhattisgarh,Janjgir-Champa,3791.0,,,
Chhattisgarh,Jashpur,3791.0,,,
Chhattisgarh,Kabeerdham,3791.0,,,
Chhattisgarh,Kondagaon,3791.0,,,
