NAME_1,NAME_2,MU_GLOBAL,SAND_TOP,CLAY_TOP,SILT_TOP
Andaman and Nicobar,Nicobar Islands,3690.0,44.89,30.05,25.06
Andaman and Nicobar,North and Middle Andaman,3690.0,44.89,30.05,25.06
Andaman and Nicobar,South Andaman,3690.0,44.89,30.05,25.06
Andhra Pradesh,Anantapur,3773.0,40.15,39.65,20.2
Andhra Pradesh,Chittoor,3781.0,22.45,25.95,15.3
Andhra Pradesh,East Godavari,3830.0,42.1,38.375,19.525
Andhra Pradesh,Guntur,3866.0,21.0,53.1,25.9
Andhra Pradesh,Krishna,3742.0,28.0,38.3,33.7
Andhra Pradesh,Kurnool,3867.0,33.95,36.95,29.1
Andhra Pradesh,Nellore,3781.0,22.45,25.95,15.3
Andhra Pradesh,Prakasam,3782.0,30.366666666666667,18.066666666666666,15.266666666666667
Andhra Pradesh,Srikakulam,3829.0,22.85,28.116666666666667,12.733333333333333
Andhra Pradesh,Visakhapatnam,3830.0,42.1,38.375,19.525
Andhra Pradesh,Vizianagaram,3830.0,42.1,38.375,19.525
Andhra Pradesh,West Godavari,3866.0,21.0,53.1,25.9
Andhra Pradesh,Y.S.R.,3727.0,16.425,15.9,13.225
Arunachal Pradesh,Anjaw,11909.0,36.0,24.3,39.7
Arunachal Pradesh,Changlang,4276.0,23.8125,30.45,18.5125
Arunachal Pradesh,Dibang Valley,11909.0,36.0,24.3,39.7
Arunachal Pradesh,East Kameng,11839.0,39.4,25.8,34.8
Arunachal Pradesh,East Siang,11790.0,29.6,38.45,31.95
Arunachal Pradesh,Kurung Kumey,11864.0,37.6,26.1,36.3
Arunachal Pradesh,Lohit,3637.0,35.88,34.12,30.0
Arunachal Pradesh,Longding,4276.0,23.8125,30.45,18.5125
Arunachal Pradesh,Lower Dibang Valley,11839.0,39.4,25.8,34.8
Arunachal Pradesh,Lower Subansiri,11839.0,39.4,25.8,34.8
Arunachal Pradesh,Namsai,3637.0,35.88,34.12,30.0
Arunachal Pradesh,Papum Pare,11839.0,39.4,25.8,34.8
Arunachal Pradesh,Tawang,11909.0,36.0,24.3,39.7
Arunachal Pradesh,Tirap,4276.0,23.8125,30.45,18.5125
Arunachal Pradesh,Upper Siang,11839.0,39.4,25.8,34.8
Arunachal Pradesh,Upper Subansiri,11839.0,39.4,25.8,34.8
Arunachal Pradesh,West Kameng,11864.0,37.6,26.1,36.3
Arunachal Pradesh,West Siang,11790.0,29.6,38.45,31.95
Assam,Baksa,3849.0,41.925,22.025,36.05
Assam,Barpeta,3683.0,39.8,28.4875,31.7125
Assam,Bongaigaon,3683.0,39.8,28.4875,31.7125
Assam,Cachar,3701.0,32.61666666666667,26.633333333333333,40.75
Assam,Chirang,3650.0,45.71666666666667,33.4,20.883333333333333
Assam,Darrang,3650.0,45.71666666666667,33.4,20.883333333333333
Assam,Dhemaji,3650.0,45.71666666666667,33.4,20.883333333333333
Assam,Dhubri,3683.0,39.8,28.4875,31.7125
Assam,Dibrugarh,3637.0,35.88,34.12,30.0
Assam,Dima Hasao,4276.0,23.8125,30.45,18.5125
Assam,Goalpara,3648.0,44.55,27.27,28.18
Assam,Golaghat,3637.0,35.88,34.12,30.0
Assam,Hailakandi,3701.0,32.61666666666667,26.633333333333333,40.75
Assam,Jorhat,3637.0,35.88,34.12,30.0
Assam,Kamrup,3650.0,45.71666666666667,33.4,20.883333333333333
Assam,Kamrup Metropolitan,3814.0,33.425,43.825,22.75
Assam,Karbi Anglong,4412.0,25.275,47.675,27.05
Assam,Karimganj,3708.0,33.8,26.966666666666665,39.233333333333334
Assam,Kokrajhar,3650.0,45.71666666666667,33.4,20.883333333333333
Assam,Lakhimpur,3683.0,39.8,28.4875,31.7125
