State Name,District Name,Soil_Type
ANDAMAN & NICOBAR ISLANDS,Nicobars,Laterite Soil
ANDAMAN & NICOBAR ISLANDS,North and Middle Andaman,Laterite Soil
ANDAMAN & NICOBAR ISLANDS,South Andaman,Laterite Soil
ANDHRA PRADESH,Anantapur,Red & Black Soil
ANDHRA PRADESH,Chittoor,Red & Black Soil
ANDHRA PRADESH,East Godavari,Red & Black Soil
ANDHRA PRADESH,Guntur,Red & Black Soil
ANDHRA PRADESH,Krishna,Red & Black Soil
ANDHRA PRADESH,Kurnool,Red & Black Soil
ANDHRA PRADESH,Prakasam,Red & Black Soil
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,Red & Black Soil
ANDHRA PRADESH,Srikakulam,Red & Black Soil
ANDHRA PRADESH,Visakhapatnam,Red & Black Soil
ANDHRA PRADESH,Vizianagaram,Red & Black Soil
ANDHRA PRADESH,West Godavari,Red & Black Soil
ANDHRA PRADESH,Y.S.R.,Red & Black Soil
ARUNACHAL PRADESH,Anjaw,Forest & Mountain Soil
ARUNACHAL PRADESH,Changlang,Forest & Mountain Soil
ARUNACHAL PRADESH,Dibang Valley,Forest & Mountain Soil
ARUNACHAL PRADESH,East Kameng,Forest & Mountain Soil
ARUNACHAL PRADESH,East Siang,Forest & Mountain Soil
ARUNACHAL PRADESH,Kra Daadi,Forest & Mountain Soil
ARUNACHAL PRADESH,Kurung Kumey,Forest & Mountain Soil
ARUNACHAL PRADESH,Lohit,Forest & Mountain Soil
ARUNACHAL PRADESH,Lower Dibang Valley,Forest & Mountain Soil
ARUNACHAL PRADESH,Lower Siang,Forest & Mountain Soil
ARUNACHAL PRADESH,Lower Subansiri,Forest & Mountain Soil
ARUNACHAL PRADESH,Namsai,Forest & Mountain Soil
ARUNACHAL PRADESH,Papum Pare,Forest & Mountain Soil
ARUNACHAL PRADESH,Siang,Forest & Mountain Soil
ARUNACHAL PRADESH,Tawang,Forest & Mountain Soil
ARUNACHAL PRADESH,Tirap,Forest & Mountain Soil
ARUNACHAL PRADESH,Upper Siang,Forest & Mountain Soil
ARUNACHAL PRADESH,Upper Subansiri,Forest & Mountain Soil
ARUNACHAL PRADESH,West Kameng,Forest & Mountain Soil
ARUNACHAL PRADESH,West Siang,Forest & Mountain Soil
ASSAM,Baksa,Alluvial Soil
ASSAM,Barpeta,Alluvial Soil
ASSAM,Biswanath,Alluvial Soil
ASSAM,Bongaigaon,Alluvial Soil
ASSAM,Cachar,Alluvial Soil
ASSAM,Charaideo,Alluvial Soil
ASSAM,Chirang,Alluvial Soil
ASSAM,Darrang,Alluvial Soil
ASSAM,Dhemaji,Alluvial Soil
ASSAM,Dhubri,Alluvial Soil
ASSAM,Dibrugarh,Alluvial Soil
ASSAM,Dima Hasao,Alluvial Soil
ASSAM,Goalpara,Alluvial Soil
ASSAM,Golaghat,Alluvial Soil
ASSAM,Hailakandi,Alluvial Soil
